,Gene
5503,RP11-314C9.1
5504,AC009229.6
5506,RP11-314C9.2
5510,ATL2
5530,RP11-173C1.1
5541,SLC8A1-AS1
5543,SLC8A1
5567,FTOP1
5594,PPM1B
5596,SLC3A1
5614,SRBD1
5639,MCFD2
5646,AC073283.4
5649,EPCAM
5659,FBXO11
5664,AC079807.4
5667,FOXN2
5670,PPP1R21
5684,RP11-443F4.1
5725,AC092839.4
5730,RTN4
5768,EIF3FP3
5790,PAPOLG
5824,COMMD1
5827,B3GNT2
5856,UGP2
5862,LINC00309
5863,RP11-547M24.1
5869,AC008074.5
5870,LGALSL
5911,MEIS1
5928,C1D
5933,RP11-474G23.3
5963,GMCL1
5968,ASPRV1
5984,TGFA
6012,ZNF638
6015,DYSF
6043,DUSP11
6053,RP11-711M9.2
6058,MOB1A
6069,AC005041.11
6074,INO80B
6075,WBP1
6076,MOGS
6086,AUP1
6087,HTRA2
6199,RN7SL113P
6203,RN7SL251P
6204,RPSAP22
6212,USP39
6231,MRPL35
6235,CHMP3
6238,RNF103
6257,AC068279.3
6266,RGPD2
6272,KRCC1
6471,RN7SL210P
6473,GPAT2
6479,STARD7-AS1
6481,CIAO1
6556,MITD1
6571,CHST10
6575,PDCL3
6586,TBC1D8
6590,RNF149
6593,CREG2
6600,LINC01127
6602,IL1R1
6605,FAM183DP
6607,IL18R1
6608,SDR42E1P5
6609,IL18RAP
6611,AC007278.2
6612,AC007278.3
6613,SLC9A4
6657,C2orf49
6660,NCK2
6680,EEF1A1P12
6712,LIMS1
6749,LINC00116
6770,ACOXL-AS1
6775,RP11-181E10.3
6801,ZC3H8
6802,ZC3H6
6808,POLR1B
6815,NT5DC4
6834,PAX8-AS1
6835,PAX8
6841,LINC01961
6848,RP11-395L14.18
6884,AC009404.2
6912,EPB41L5
6913,MTATP6P26
6915,MTND3P10
6916,MTND4LP14
6918,MTND5P28
6920,TMEM185B
6921,RALB
6923,INHBB
6934,CLASP1
6937,NIFK-AS1
6942,TSN
6971,BIN1
6981,IWS1
6984,MYO7B
7028,SMPD4
7029,MZT2B
